127.0.0.1 - - [05/Dec/2024:10:34:21 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Dec/2024:10:34:24 +0530] "GET /Project/dashboard/admin/schedule.jsp HTTP/1.1" 200 3441
0:0:0:0:0:0:0:1 - - [05/Dec/2024:10:34:24 +0530] "GET /Project/dashboard/admin/css/admin-panel.css HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [05/Dec/2024:10:34:24 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Dec/2024:10:35:18 +0530] "GET /Project/dashboard/admin/schedule.jsp HTTP/1.1" 200 3447
0:0:0:0:0:0:0:1 - - [05/Dec/2024:10:35:18 +0530] "GET /Project/css/admin-panel.css HTTP/1.1" 200 3874
0:0:0:0:0:0:0:1 - - [05/Dec/2024:10:36:13 +0530] "GET /Project/dashboard/admin/panel.jsp HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [05/Dec/2024:10:37:09 +0530] "GET /Project/dashboard/admin/panel.jsp HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [05/Dec/2024:10:37:09 +0530] "GET /Project/css/admin-panel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:10:37:35 +0530] "GET /Project/dashboard/admin/schedule.html HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [05/Dec/2024:10:37:42 +0530] "GET /Project/dashboard/admin/schedule.jsp HTTP/1.1" 200 3447
0:0:0:0:0:0:0:1 - - [05/Dec/2024:10:37:52 +0530] "GET /Project/dashboard/admin/doctor.jsp HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [05/Dec/2024:10:37:52 +0530] "GET /Project/dashboard/admin/css/admin-panel.css HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [05/Dec/2024:10:38:30 +0530] "GET /Project/dashboard/admin/doctor.jsp HTTP/1.1" 200 3037
0:0:0:0:0:0:0:1 - - [05/Dec/2024:11:24:30 +0530] "GET /Project/dashboard/admin/patients.html HTTP/1.1" 404 801
